"隨機抽樣n19990005" "聳動字眼" "過度主觀陳述" "刻意擷取字句" "強調色情內容" "強調非重點內容" "留言數" "anyIssue" "new過度主觀陳述" "all" "interval"
"1" "1,\"春吶前夕 海巡攔1.1噸K毒原料\"" "0" "0" "0" "0" "0" 6 "0" 0 0 "0"
"2" "2,\"色廟公性侵不成 軟禁毆女\"" "0" "0" "0" "1" "0" 3 "1" 0 88 "1"
"3" "3,\"屏縣議員「洪大姐」涉收400萬回扣...\"" "0" "0" "0" "0" "1" 17 "1" 0 88 "1"
"4" "4,\"精障男獨在家 遭鐵捲門鍘頸亡\"" "0" "0" "0" "0" "1" 0 "1" 0 88 "1"
"5" "5,\"妻女遭虐殺 父求槍斃惡男\"" "0" "1" "0" "0" "0" 21 "1" 2 88 "1"
"6" "6,\"車斗撞限高門架 貨車翹孤輪\"" "0" "0" "0" "0" "0" 1 "0" 0 0 "0"
"7" "7,\"國道自撞拋飛 駕駛遭拖行慘死\"" "1" "0" "0" "0" "0" 2 "1" 0 88 "1"
"8" "8,\"廂型車上國道竄火 濃煙蔽視線險釀禍\"" "0" "0" "0" "0" "0" 0 "0" 0 0 "0"
"9" "9,\"扶老人過馬路不讓救護車 警：未違規\"" "0" "0" "0" "0" "0" 18 "0" 0 0 "0"
"10" "10,\"法拉利撞飛騎士 修車費恐達200萬\"" "1" "0" "0" "0" "1" 10 "1" 0 99 "2"
"11" "11,\"W案藥頭當庭告白 喜歡混血女模才攜毒\"" "0" "0" "0" "0" "1" 4 "1" 0 88 "1"
"12" "12,\"風格不同 妙可告白爛貓不起訴\"" "0" "0" "0" "0" "0" 3 "0" 0 0 "0"
"13" "13,\"女拉皮歪嘴索賠 反遭告詐欺\"" "0" "0" "0" "0" "1" 6 "1" 0 88 "1"
"14" "14,\"「爬黑山」突胃出血 登山客送醫不治\"" "0" "0" "0" "0" "1" 4 "1" 0 88 "1"
"15" "15,\"頸部刺16刀殺妻 包租公竟稱忘了\"" "1" "0" "0" "0" "0" 1 "1" 0 88 "1"
